t,x,y,z
1.790000000000000036e+00,-7.316775216979459096e+00,-6.536394747745378986e+00,2.666440679494056099e+01
1.800000000000000044e+00,-7.244198591018477629e+00,-6.575940857686478402e+00,2.643345446146981459e+01
1.810000000000000053e+00,-7.182978938624838605e+00,-6.630400298682874727e+00,2.620754204558958733e+01
1.820000000000000062e+00,-7.133477665468970663e+00,-6.699382601503836909e+00,2.598833168554106621e+01
1.830000000000000071e+00,-7.095968898824699167e+00,-6.782405797689746940e+00,2.577741496413053923e+01
1.840000000000000080e+00,-7.070639487569249759e+00,-6.878896419552101626e+00,2.557631290872936347e+01
1.850000000000000089e+00,-7.057589002183249249e+00,-6.988189500173510815e+00,2.538647599127397925e+01
1.860000000000000098e+00,-7.056829734750722061e+00,-7.109528573407698282e+00,2.520928412826591369e+01
1.870000000000000107e+00,-7.068286698959092895e+00,-7.242065673879500842e+00,2.504604668077177720e+01
1.880000000000000115e+00,-7.091797630099185845e+00,-7.384861336984871016e+00,2.489800245442325632e+01
1.890000000000000124e+00,-7.127112985065225281e+00,-7.536884598890873477e+00,2.476631969941712086e+01
1.900000000000000133e+00,-7.173895942354833188e+00,-7.697012996535685048e+00,2.465209611051523098e+01
1.910000000000000142e+00,-7.231656620508946531e+00,-7.864099258286430860e+00,2.455627966669027629e+01
1.919999999999999929e+00,-7.299284047146188392e+00,-8.037773959958848025e+00,2.447909848868476956e+01
1.929999999999999938e+00,-7.376605767856814211e+00,-8.217178593129768061e+00,2.442188923821777280e+01
1.939999999999999947e+00,-7.463587041170084646e+00,-8.401113623185437973e+00,2.438610090685172338e+01
1.949999999999999956e+00,-7.560020770432686277e+00,-8.588268936015611033e+00,2.437292011551823023e+01
1.959999999999999964e+00,-7.665527503808729826e+00,-8.777223838013547663e+00,2.438327111451805962e+01
1.969999999999999973e+00,-7.779555434279751047e+00,-8.966447056076006561e+00,2.441781578352116355e+01
1.979999999999999982e+00,-7.901380399644709840e+00,-9.154296737603250023e+00,2.447695363156665493e+01
1.989999999999999991e+00,-8.030105882519992022e+00,-9.339020450499047499e+00,2.456082179706281821e+01
2.000000000000000000e+00,-8.164663010339404892e+00,-9.518755183170668488e+00,2.466929504778711646e+01
2.010000000000000231e+00,-8.303810555354187883e+00,-9.691527344528889643e+00,2.480198578088617367e+01
2.020000000000000018e+00,-8.446134934632988589e+00,-9.855252763987977005e+00,2.495824402287577826e+01
2.030000000000000249e+00,-8.590050210061903613e+00,-1.000773669146572509e+01,2.513715742964091859e+01
2.040000000000000036e+00,-8.733798088344427057e+00,-1.014667379738340003e+01,2.533755128643571197e+01
2.049999999999999822e+00,-8.875447921001498486e+00,-1.026964817266579821e+01,2.555798850788347565e+01
2.060000000000000053e+00,-9.013630512030566422e+00,-1.037447973567589798e+01,2.579699080147706880e+01
2.069999999999999840e+00,-9.148170924710681717e+00,-1.045956561699738252e+01,2.605255932175247580e+01
2.080000000000000071e+00,-9.277083324574798340e+00,-1.052270107309308500e+01,2.632134029577699508e+01
2.089999999999999858e+00,-9.398430452603747653e+00,-1.056206298666646859e+01,2.659989883349005879e+01
2.100000000000000089e+00,-9.510442916501954613e+00,-1.057626765507218991e+01,2.688477460312327594e+01
2.109999999999999876e+00,-9.611519190697389803e+00,-1.056437079031609194e+01,2.717248183120032579e+01
2.120000000000000107e+00,-9.700225616341606738e+00,-1.052586751905519691e+01,2.745950930253705025e+01
2.129999999999999893e+00,-9.775296401309711669e+00,-1.046069238259772227e+01,2.774232036024136505e+01
2.140000000000000124e+00,-9.835633620200390226e+00,-1.036921933690305764e+01,2.801735290571335923e+01
2.149999999999999911e+00,-9.880307214335884325e+00,-1.025226175258179495e+01,2.828101939864518855e+01
2.160000000000000142e+00,-9.908554991762009934e+00,-1.011107241489569120e+01,2.852970685702118203e+01
2.169999999999999929e+00,-9.919782627248144635e+00,-9.947343523757714578e+00,2.875977685711772835e+01
2.180000000000000160e+00,-9.913563662287236511e+00,-9.763206693731989461e+00,2.896756553350339658e+01
2.189999999999999947e+00,-9.889501769093763883e+00,-9.561328515814846440e+00,2.914960154676129278e+01
2.200000000000000178e+00,-9.847751395822667675e+00,-9.345342176905093723e+00,2.930352565076704252e+01
2.209999999999999964e+00,-9.789035643600188408e+00,-9.119041370820067272e+00,2.942766435675966363e+01
2.220000000000000195e+00,-9.714230896434807860e+00,-8.886028320809472802e+00,2.952079509185120543e+01
2.229999999999999982e+00,-9.624366037865963008e+00,-8.649713545689252214e+00,2.958214618833425646e+01
2.240000000000000213e+00,-9.520622450964026484e+00,-8.413315859841492994e+00,2.961139688368196943e+01
2.250000000000000000e+00,-9.404334018330340328e+00,-8.179862373214513482e+00,2.960867732054805401e+01
2.260000000000000231e+00,-9.276987122097173355e+00,-7.952188491322785602e+00,2.957456854676676983e+01
2.270000000000000018e+00,-9.140220643927763788e+00,-7.732937915247008576e+00,2.951010251535293705e+01
2.280000000000000249e+00,-8.995825965016281955e+00,-7.524562641634035209e+00,2.941676208450192220e+01
2.290000000000000036e+00,-8.845746966087867591e+00,-7.329322962696945609e+00,2.929648101758965950e+01
2.300000000000000266e+00,-8.692080027398581876e+00,-7.149287466214975240e+00,2.915164398317262240e+01
2.310000000000000053e+00,-8.537057534647830792e+00,-6.986299106172736195e+00,2.898509369776400746e+01
2.319999999999999840e+00,-8.382407982683053760e+00,-6.840972277743468943e+00,2.879993928298781469e+01
2.330000000000000071e+00,-8.229656482242075910e+00,-6.714013712404540257e+00,2.859844534176647102e+01
2.339999999999999858e+00,-8.080373582072262195e+00,-6.606279081731825542e+00,2.838269815621601921e+01
2.350000000000000089e+00,-7.936019244030093844e+00,-6.518343957318684545e+00,2.815484379765774747e+01
2.359999999999999876e+00,-7.797942843081216324e+00,-6.450503810776002211e+00,2.791708812661828887e+01
2.370000000000000107e+00,-7.667383167300394931e+00,-6.402774013732155822e+00,2.767169679282953254e+01
2.379999999999999893e+00,-7.545468417871558309e+00,-6.374889837833042527e+00,2.742099523522869475e+01
2.390000000000000124e+00,-7.433216209087756710e+00,-6.366306454742057142e+00,2.716736868195825849e+01
2.399999999999999911e+00,-7.331533568351204622e+00,-6.376198936140107243e+00,2.691326215036603742e+01
2.410000000000000142e+00,-7.241216936173237251e+00,-6.403462253725606068e+00,2.666118044700510126e+01
2.419999999999999929e+00,-7.162952166174347823e+00,-6.446711279214470736e+00,2.641368816763385752e+01
2.430000000000000160e+00,-7.097295833847824476e+00,-6.504319607978585438e+00,2.617335258460012781e+01
